building_id,reviewer_1,label_1,reviewer_2,label_2,evidence,adjudicator,final_label,final_confidence,adjudication_reason
TN_VARDAH_2016_056450,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_GAJA_2018_054447,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NIVAR_2020_043758,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NIVAR_2020_029897,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NIVAR_2020_005130,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NIVAR_2020_090641,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_MANDOUS_2022_011485,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_MANDOUS_2022_033007,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_MANDOUS_2022_033043,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_MANDOUS_2022_026446,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_SOUTHERN_FLOOD_2023_159776,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_OCKHI_2017_011635,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_FENGAL_2024_069231,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_FENGAL_2024_000004,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_BUREVI_2020_101480,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_BUREVI_2020_099771,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NADA_2016_038582,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NADA_2016_017768,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
TN_NADA_2016_083293,Alice,0,Bob,U,Joint Needs Assessment local report validation - Double review label dispute resolved by senior adjudicator audit.,Charlie,0,HIGH,Adjudicator confirmed structure remains intact after inspection of pre/post SAR backscatter ratios.
