building_id,label,evidence_source,spatial_match,auditor,audit_result,comments
TN_GAJA_2018_047557,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_009961,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_004993,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_002268,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_005650,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_019865,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_106319,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_005079,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_023551,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_030748,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_006291,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_001117,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
