event_id,priority_tier,overall_tier,s1_quality_tier,s2_quality_tier,building_data_available,ground_truth_available,ground_truth_source,ground_truth_source_url,ground_truth_type,notes
TN_CHENNAI_FLOOD_2015,PRIORITY_3,SAR_ONLY_WEAK,S1_TIER_3 = SAR_USABLE,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,"Exploratory / fallback. Larger SAR temporal gap, but still scientifically valuable."
TN_VARDAH_2016,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_1 = EXCELLENT,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_GAJA_2018,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_1 = EXCELLENT,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_NIVAR_2020,PRIORITY_1,MULTIMODAL_EXCELLENT,S1_TIER_1 = EXCELLENT,S2_TIER_2 = GOOD,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Highest rank. Both SAR and Optical observations are extremely clean and close to landfall.
TN_MICHAUNG_2023,PRIORITY_3,SAR_ONLY_WEAK,S1_TIER_3 = SAR_USABLE,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,"Exploratory / fallback. Larger SAR temporal gap, but still scientifically valuable."
TN_MANDOUS_2022,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_2 = GOOD,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_SOUTHERN_FLOOD_2023,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_1 = EXCELLENT,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_OCKHI_2017,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_2 = GOOD,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_FENGAL_2024,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_2 = GOOD,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_CHENNAI_FLOOD_2021,PRIORITY_1,MULTIMODAL_EXCELLENT,S1_TIER_2 = GOOD,S2_TIER_2 = GOOD,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_BUREVI_2020,PRIORITY_1,MULTIMODAL_GOOD,S1_TIER_1 = EXCELLENT,S2_TIER_3 = SUPPORTING,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
TN_NADA_2016,PRIORITY_1,SAR_ONLY_GOOD,S1_TIER_1 = EXCELLENT,S2_UNAVAILABLE,true,true,UNOSAT & Copernicus Emergency Management Service / Government Reports,https://unosat.org/,official flood inundation shapefiles & damage grading vectors,Recommended. Strong orbit-aligned SAR pair and good building footprint availability.
