event_id,selected_source,source_url,source_type,license,source_date,estimated_buildings,selection_reason,alternative_sources,notes
TN_VARDAH_2016,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,211006,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_GAJA_2018,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,69642,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_NIVAR_2020,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,109682,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_MANDOUS_2022,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,34393,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_SOUTHERN_FLOOD_2023,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,171959,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_OCKHI_2017,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,74731,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_FENGAL_2024,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,145824,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_CHENNAI_FLOOD_2021,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,211006,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_BUREVI_2020,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,102266,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
TN_NADA_2016,Google Open Buildings v3,https://sites.research.google/open-buildings/,deep_learning_derived_polygons,CC-BY-4.0,2023-06-01,109682,"Google Open Buildings v3 has comprehensive coverage, higher footprint recall, and accurate boundaries over rural and suburban Tamil Nadu compared to OpenStreetMap.",OpenStreetMap,Original raw polygons were filtered for confidence >= 0.65 in Earth Engine.
