event_id,building_data_available,building_source,building_source_url,estimated_building_count,building_data_quality,building_data_license,building_data_notes
TN_CHENNAI_FLOOD_2015,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,180000,High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_VARDAH_2016,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,180000,High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_GAJA_2018,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_NIVAR_2020,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_MICHAUNG_2023,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,180000,High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_MANDOUS_2022,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_SOUTHERN_FLOOD_2023,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_OCKHI_2017,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_FENGAL_2024,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_CHENNAI_FLOOD_2021,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,180000,High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_BUREVI_2020,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
TN_NADA_2016,true,Google Open Buildings v3 & OSM,https://sites.research.google/open-buildings/,65000,Medium-High,CC-BY-4.0 & ODbL,Google Open Buildings covers 100% of Tamil Nadu districts with high recall and precision.
